Code,Name,Manufacturer,Character,System Type,Category,Subtype,Item Type,Part Type,Description,Note,Elemental,Canonical Name,Canonical Rarity,General Category,Specific Category,Is Legendary,Matched Legendary Name,Moved From Manufacturer,Moved Manufacturer Type,Search Text
{1:22},Weapon.part_secondary_elem_cryo_radiation_mal,,,,Element,Cryo/Radiation,Element,Cryo/Radiation,Second element on Maliwan weapons,,Cryo/Radiation,Second element on Maliwan weapons,Common,Other,Cryo/Radiation,False,,Element,Element,{1:22} weapon.part_secondary_elem_cryo_radiation_mal element element cryo/radiation second element on maliwan weapons cryo/radiation common other cryo/radiation
{1:23},Weapon.part_secondary_elem_cryo_fire_mal,,,,Element,Cryo/Fire,Element,Cryo/Fire,Second element on Maliwan weapons,,Cryo/Fire,Second element on Maliwan weapons,Common,Other,Cryo/Fire,False,,Element,Element,{1:23} weapon.part_secondary_elem_cryo_fire_mal element element cryo/fire second element on maliwan weapons cryo/fire common other cryo/fire
{1:24},Weapon.part_secondary_elem_cryo_corrosive_mal,,,,Element,Cryo/Corrosive,Element,Cryo/Corrosive,Second element on Maliwan weapons,,Cryo/Corrosive,Second element on Maliwan weapons,Common,Other,Cryo/Corrosive,False,,Element,Element,{1:24} weapon.part_secondary_elem_cryo_corrosive_mal element element cryo/corrosive second element on maliwan weapons cryo/corrosive common other cryo/corrosive
{1:25},Weapon.part_secondary_elem_corrosive_shock_mal,,,,Element,Corrosive/Shock,Element,Corrosive/Shock,Second element on Maliwan weapons,,Corrosive/Shock,Second element on Maliwan weapons,Common,Other,Corrosive/Shock,False,,Element,Element,{1:25} weapon.part_secondary_elem_corrosive_shock_mal element element corrosive/shock second element on maliwan weapons corrosive/shock common other corrosive/shock
{1:26},Weapon.part_secondary_elem_corrosive_radiation_mal,,,,Element,Corrosive/Radiation,Element,Corrosive/Radiation,Second element on Maliwan weapons,,Corrosive/Radiation,Second element on Maliwan weapons,Common,Other,Corrosive/Radiation,False,,Element,Element,{1:26} weapon.part_secondary_elem_corrosive_radiation_mal element element corrosive/radiation second element on maliwan weapons corrosive/radiation common other corrosive/radiation
{1:27},Weapon.part_secondary_elem_corrosive_fire_mal,,,,Element,Corrosive/Fire,Element,Corrosive/Fire,Second element on Maliwan weapons,,Corrosive/Fire,Second element on Maliwan weapons,Common,Other,Corrosive/Fire,False,,Element,Element,{1:27} weapon.part_secondary_elem_corrosive_fire_mal element element corrosive/fire second element on maliwan weapons corrosive/fire common other corrosive/fire
{1:28},Weapon.part_secondary_elem_corrosive_cryo_mal,,,,Element,Corrosive/Cryo,Element,Corrosive/Cryo,Second element on Maliwan weapons,,Corrosive/Cryo,Second element on Maliwan weapons,Common,Other,Corrosive/Cryo,False,,Element,Element,{1:28} weapon.part_secondary_elem_corrosive_cryo_mal element element corrosive/cryo second element on maliwan weapons corrosive/cryo common other corrosive/cryo
{1:29},Weapon.part_secondary_elem_shock_radiation,,,,Element,Shock/Radiation,Element,Shock/Radiation,Maliwan Licenced Underbarrel,,Shock/Radiation,Maliwan Licenced Underbarrel,Common,Other,Shock/Radiation,False,,Element,Element,{1:29} weapon.part_secondary_elem_shock_radiation element element shock/radiation maliwan licenced underbarrel shock/radiation common other shock/radiation
{1:30},Weapon.part_secondary_elem_fire_radiation,,,,Element,Fire Radiation,Element,Fire Radiation,Maliwan Licenced Underbarrel,,Fire Radiation,Maliwan Licenced Underbarrel,Common,Other,Fire Radiation,False,,Element,Element,{1:30} weapon.part_secondary_elem_fire_radiation element element fire radiation maliwan licenced underbarrel fire radiation common other fire radiation
{1:31},Weapon.part_secondary_elem_cryo_radiation,,,,Element,Cryo/Radiation,Element,Cryo/Radiation,Maliwan Licenced Underbarrel,,Cryo/Radiation,Maliwan Licenced Underbarrel,Common,Other,Cryo/Radiation,False,,Element,Element,{1:31} weapon.part_secondary_elem_cryo_radiation element element cryo/radiation maliwan licenced underbarrel cryo/radiation common other cryo/radiation
{1:32},Weapon.part_secondary_elem_corrosive_radiation,,,,Element,Corrosive/Radiation,Element,Corrosive/Radiation,Maliwan Licenced Underbarrel,,Corrosive/Radiation,Maliwan Licenced Underbarrel,Common,Other,Corrosive/Radiation,False,,Element,Element,{1:32} weapon.part_secondary_elem_corrosive_radiation element element corrosive/radiation maliwan licenced underbarrel corrosive/radiation common other corrosive/radiation
{1:33},Weapon.part_secondary_elem_radiation_corrosive,,,,Element,Radiation/Corrosive,Element,Radiation/Corrosive,Maliwan Licenced Underbarrel,,Radiation/Corrosive,Maliwan Licenced Underbarrel,Common,Other,Radiation/Corrosive,False,,Element,Element,{1:33} weapon.part_secondary_elem_radiation_corrosive element element radiation/corrosive maliwan licenced underbarrel radiation/corrosive common other radiation/corrosive
{1:34},Weapon.part_secondary_elem_shock_corrosive,,,,Element,Shock/Corrosive,Element,Shock/Corrosive,Maliwan Licenced Underbarrel,,Shock/Corrosive,Maliwan Licenced Underbarrel,Common,Other,Shock/Corrosive,False,,Element,Element,{1:34} weapon.part_secondary_elem_shock_corrosive element element shock/corrosive maliwan licenced underbarrel shock/corrosive common other shock/corrosive
{1:35},Weapon.part_secondary_elem_fire_corrosive,,,,Element,Fire/Corrosive,Element,Fire/Corrosive,Maliwan Licenced Underbarrel,,Fire/Corrosive,Maliwan Licenced Underbarrel,Common,Other,Fire/Corrosive,False,,Element,Element,{1:35} weapon.part_secondary_elem_fire_corrosive element element fire/corrosive maliwan licenced underbarrel fire/corrosive common other fire/corrosive
{1:36},Weapon.part_secondary_elem_cryo_corrosive,,,,Element,Cryo/Corrosive,Element,Cryo/Corrosive,Maliwan Licenced Underbarrel,,Cryo/Corrosive,Maliwan Licenced Underbarrel,Common,Other,Cryo/Corrosive,False,,Element,Element,{1:36} weapon.part_secondary_elem_cryo_corrosive element element cryo/corrosive maliwan licenced underbarrel cryo/corrosive common other cryo/corrosive
{1:37},Weapon.part_secondary_elem_radiation_cryo,,,,Element,Radiation/Cryo,Element,Radiation/Cryo,Maliwan Licenced Underbarrel,,Radiation/Cryo,Maliwan Licenced Underbarrel,Common,Other,Radiation/Cryo,False,,Element,Element,{1:37} weapon.part_secondary_elem_radiation_cryo element element radiation/cryo maliwan licenced underbarrel radiation/cryo common other radiation/cryo
{1:38},Weapon.part_secondary_elem_shock_cryo,,,,Element,Shock/Cryo,Element,Shock/Cryo,Maliwan Licenced Underbarrel,,Shock/Cryo,Maliwan Licenced Underbarrel,Common,Other,Shock/Cryo,False,,Element,Element,{1:38} weapon.part_secondary_elem_shock_cryo element element shock/cryo maliwan licenced underbarrel shock/cryo common other shock/cryo
{1:39},Weapon.part_secondary_elem_fire_cryo,,,,Element,Fire/Cryo,Element,Fire/Cryo,Maliwan Licenced Underbarrel,,Fire/Cryo,Maliwan Licenced Underbarrel,Common,Other,Fire/Cryo,False,,Element,Element,{1:39} weapon.part_secondary_elem_fire_cryo element element fire/cryo maliwan licenced underbarrel fire/cryo common other fire/cryo
{1:40},Weapon.part_secondary_elem_corrosive_cryo,,,,Element,Corrosive/Cryo,Element,Corrosive/Cryo,Maliwan Licenced Underbarrel,,Corrosive/Cryo,Maliwan Licenced Underbarrel,Common,Other,Corrosive/Cryo,False,,Element,Element,{1:40} weapon.part_secondary_elem_corrosive_cryo element element corrosive/cryo maliwan licenced underbarrel corrosive/cryo common other corrosive/cryo
{1:41},Weapon.part_secondary_elem_radiation_fire,,,,Element,Radiation/Fire,Element,Radiation/Fire,Maliwan Licenced Underbarrel,,Radiation/Fire,Maliwan Licenced Underbarrel,Common,Other,Radiation/Fire,False,,Element,Element,{1:41} weapon.part_secondary_elem_radiation_fire element element radiation/fire maliwan licenced underbarrel radiation/fire common other radiation/fire
{1:42},Weapon.part_secondary_elem_cryo_fire,,,,Element,Cryo/Fire,Element,Cryo/Fire,Maliwan Licenced Underbarrel,,Cryo/Fire,Maliwan Licenced Underbarrel,Common,Other,Cryo/Fire,False,,Element,Element,{1:42} weapon.part_secondary_elem_cryo_fire element element cryo/fire maliwan licenced underbarrel cryo/fire common other cryo/fire
{1:43},Weapon.part_secondary_elem_shock_fire,,,,Element,Shock/Fire,Element,Shock/Fire,Maliwan Licenced Underbarrel,,Shock/Fire,Maliwan Licenced Underbarrel,Common,Other,Shock/Fire,False,,Element,Element,{1:43} weapon.part_secondary_elem_shock_fire element element shock/fire maliwan licenced underbarrel shock/fire common other shock/fire
{1:44},Weapon.part_secondary_elem_corrosive_fire,,,,Element,Corrosive/Fire,Element,Corrosive/Fire,Maliwan Licenced Underbarrel,,Corrosive/Fire,Maliwan Licenced Underbarrel,Common,Other,Corrosive/Fire,False,,Element,Element,{1:44} weapon.part_secondary_elem_corrosive_fire element element corrosive/fire maliwan licenced underbarrel corrosive/fire common other corrosive/fire
{1:45},Weapon.part_secondary_elem_radiation_shock,,,,Element,Radiation/Shock,Element,Radiation/Shock,Maliwan Licenced Underbarrel,,Radiation/Shock,Maliwan Licenced Underbarrel,Common,Other,Radiation/Shock,False,,Element,Element,{1:45} weapon.part_secondary_elem_radiation_shock element element radiation/shock maliwan licenced underbarrel radiation/shock common other radiation/shock
{1:46},Weapon.part_secondary_elem_cryo_shock,,,,Element,Cryo/Shock,Element,Cryo/Shock,Maliwan Licenced Underbarrel,,Cryo/Shock,Maliwan Licenced Underbarrel,Common,Other,Cryo/Shock,False,,Element,Element,{1:46} weapon.part_secondary_elem_cryo_shock element element cryo/shock maliwan licenced underbarrel cryo/shock common other cryo/shock
{1:47},Weapon.part_secondary_elem_corrosive_shock,,,,Element,Corrosive/Shock,Element,Corrosive/Shock,Maliwan Licenced Underbarrel,,Corrosive/Shock,Maliwan Licenced Underbarrel,Common,Other,Corrosive/Shock,False,,Element,Element,{1:47} weapon.part_secondary_elem_corrosive_shock element element corrosive/shock maliwan licenced underbarrel corrosive/shock common other corrosive/shock
{1:48},Weapon.part_secondary_elem_fire_shock,,,,Element,Fire/Shock,Element,Fire/Shock,Second element on Maliwan weapons,,Fire/Shock,Second element on Maliwan weapons,Common,Other,Fire/Shock,False,,Element,Element,{1:48} weapon.part_secondary_elem_fire_shock element element fire/shock second element on maliwan weapons fire/shock common other fire/shock
{1:49},Weapon.part_secondary_elem_fire_shock,,,,Element,Fire/Shock,Element,Fire/Shock,Maliwan Licenced Underbarrel,,Fire/Shock,Maliwan Licenced Underbarrel,Common,Other,Fire/Shock,False,,Element,Element,{1:49} weapon.part_secondary_elem_fire_shock element element fire/shock maliwan licenced underbarrel fire/shock common other fire/shock
{1:51},Weapon.part_pearl_damage,,,,Element,Enhancement,Element,Enhancement,pearl_damage,,+damage,pearl_damage,Common,Enhancement Part,Enhancement,False,,Element,Element,{1:51} weapon.part_pearl_damage element element enhancement pearl_damage +damage common enhancement part enhancement
{1:52},Weapon.part_pearl_reload,,,,Element,Enhancement,Element,Enhancement,pearl_reload,,+reload,pearl_reload,Common,Enhancement Part,Enhancement,False,,Element,Element,{1:52} weapon.part_pearl_reload element element enhancement pearl_reload +reload common enhancement part enhancement
{1:53},Weapon.part_pearl_firerate,,,,Element,Enhancement,Element,Enhancement,pearl_firerate,,+firerate,pearl_firerate,Common,Enhancement Part,Enhancement,False,,Element,Element,{1:53} weapon.part_pearl_firerate element element enhancement pearl_firerate +firerate common enhancement part enhancement
{1:54},Weapon.part_pearl_handling,,,,Element,Enhancement,Element,Enhancement,pearl_handling,,+handling,pearl_handling,Common,Enhancement Part,Enhancement,False,,Element,Element,{1:54} weapon.part_pearl_handling element element enhancement pearl_handling +handling common enhancement part enhancement
{1:55},Weapon.part_override_kinetic,,,,Element,Kinetic Override,Element,Kinetic Override,Element Override,,Kinetic,Element Override,Common,Other,Kinetic Override,False,,Element,Element,{1:55} weapon.part_override_kinetic element element kinetic override element override kinetic common other kinetic override
{1:56},Weapon.part_override_shock,,,,Element,Shock Override,Element,Shock Override,Element Override,,Shock,Element Override,Common,Other,Shock Override,False,,Element,Element,{1:56} weapon.part_override_shock element element shock override element override shock common other shock override
{1:57},Weapon.part_override_radiation,,,,Element,Radiation Override,Element,Radiation Override,Element Override,,Radiation,Element Override,Common,Other,Radiation Override,False,,Element,Element,{1:57} weapon.part_override_radiation element element radiation override element override radiation common other radiation override
{1:58},Weapon.part_override_corrosive,,,,Element,Corrosive Override,Element,Corrosive Override,Element Override,,Corrosive,Element Override,Common,Other,Corrosive Override,False,,Element,Element,{1:58} weapon.part_override_corrosive element element corrosive override element override corrosive common other corrosive override
{1:59},Weapon.part_override_cryo,,,,Element,Cryo Override,Element,Cryo Override,Element Override,,Cryo,Element Override,Common,Other,Cryo Override,False,,Element,Element,{1:59} weapon.part_override_cryo element element cryo override element override cryo common other cryo override
{1:60},Weapon.part_override_fire,,,,Element,Incendiary Override,Element,Incendiary Override,Element Override,,Fire,Element Override,Common,Other,Incendiary Override,False,,Element,Element,{1:60} weapon.part_override_fire element element incendiary override element override fire common other incendiary override
{2:1},DAD_PS.part_barrel_01_zipgun,Daedalus,,,Pistol,nan,Pistol,Barrel,,,Zipper,DAD_PS.part_barrel_01_zipgun,Legendary,Weapon Part,Barrel,True,Zipper,,,{2:1} dad_ps.part_barrel_01_zipgun daedalus pistol barrel zipper legendary weapon part barrel
{2:2},DAD_PS.part_body,Daedalus,,,Pistol,nan,Pistol,Body,,,No Stat Changes,DAD_PS.part_body,Common,Weapon Part,Body,False,,,,{2:2} dad_ps.part_body daedalus pistol body no stat changes common weapon part body
{2:3},DAD_PS.part_body_a,Daedalus,,,Pistol,nan,Pistol,Body Accessory,,,-Reload Speed,DAD_PS.part_body_a,Common,Weapon Part,Body Accessory,False,,,,{2:3} dad_ps.part_body_a daedalus pistol body accessory -reload speed common weapon part body accessory
{2:4},DAD_PS.part_body_b,Daedalus,,,Pistol,nan,Pistol,Body Accessory,,,-Reload Speed,DAD_PS.part_body_b,Common,Weapon Part,Body Accessory,False,,,,{2:4} dad_ps.part_body_b daedalus pistol body accessory -reload speed common weapon part body accessory
{2:5},DAD_PS.part_body_c,Daedalus,,,Pistol,nan,Pistol,Body Accessory,,,+Accuracy,DAD_PS.part_body_c,Common,Weapon Part,Body Accessory,False,,,,{2:5} dad_ps.part_body_c daedalus pistol body accessory +accuracy common weapon part body accessory
{2:6},DAD_PS.part_body_d,Daedalus,,,Pistol,nan,Pistol,Body Accessory,,,No Stat Changes,DAD_PS.part_body_d,Common,Weapon Part,Body Accessory,False,,,,{2:6} dad_ps.part_body_d daedalus pistol body accessory no stat changes common weapon part body accessory
{2:7},DAD_PS.part_barrel_01,Daedalus,,,Pistol,nan,Pistol,Barrel,,,S23,DAD_PS.part_barrel_01,Common,Weapon Part,Barrel,False,,,,{2:7} dad_ps.part_barrel_01 daedalus pistol barrel s23 common weapon part barrel
{2:8},DAD_PS.part_barrel_02,Daedalus,,,Pistol,nan,Pistol,Barrel,,,Bonn-91,DAD_PS.part_barrel_02,Common,Weapon Part,Barrel,False,,,,{2:8} dad_ps.part_barrel_02 daedalus pistol barrel bonn-91 common weapon part barrel
{2:9},DAD_PS.part_shield_default,Daedalus,,,Pistol,nan,Pistol,Manufacturer Part,,,Hyperion Shield,DAD_PS.part_shield_default,Common,Weapon Part,Manufacturer Part,False,,,,{2:9} dad_ps.part_shield_default daedalus pistol manufacturer part hyperion shield common weapon part manufacturer part
{2:10},DAD_PS.part_shield_ricochet,Daedalus,,,Pistol,nan,Pistol,Manufacturer Part,,,Hyperion Ricochet Shield,DAD_PS.part_shield_ricochet,Common,Weapon Part,Manufacturer Part,False,,,,{2:10} dad_ps.part_shield_ricochet daedalus pistol manufacturer part hyperion ricochet shield common weapon part manufacturer part
{2:11},DAD_PS.part_shield_ammo,Daedalus,,,Pistol,nan,Pistol,Manufacturer Part,,,Hyperion Absorb Shield,DAD_PS.part_shield_ammo,Common,Weapon Part,Manufacturer Part,False,,,,{2:11} dad_ps.part_shield_ammo daedalus pistol manufacturer part hyperion absorb shield common weapon part manufacturer part
{2:12},DAD_PS.part_shield_amp,Daedalus,,,Pistol,nan,Pistol,Manufacturer Part,,,Hyperion Amp Shield,DAD_PS.part_shield_amp,Common,Weapon Part,Manufacturer Part,False,,,,{2:12} dad_ps.part_shield_amp daedalus pistol manufacturer part hyperion amp shield common weapon part manufacturer part
{2:13},DAD_PS.part_mag_01,Daedalus,,,Pistol,nan,Pistol,Magazine,,,2.0s Reload,DAD_PS.part_mag_01,Common,Weapon Part,Magazine,False,,,,{2:13} dad_ps.part_mag_01 daedalus pistol magazine 2.0s reload common weapon part magazine
{2:14},DAD_PS.part_mag_02,Daedalus,,,Pistol,nan,Pistol,Magazine,,,2.7s Reload,DAD_PS.part_mag_02,Common,Weapon Part,Magazine,False,,,,{2:14} dad_ps.part_mag_02 daedalus pistol magazine 2.7s reload common weapon part magazine
{2:15},DAD_PS.part_mag_03_tor,Daedalus,,,Pistol,nan,Pistol,Magazine,,,2.4s Reload,DAD_PS.part_mag_03_tor,Common,Weapon Part,Magazine,False,,,,{2:15} dad_ps.part_mag_03_tor daedalus pistol magazine 2.4s reload common weapon part magazine
{2:16},DAD_PS.part_mag_04_cov,Daedalus,,,Pistol,nan,Pistol,Magazine,,,3.5s Reload,DAD_PS.part_mag_04_cov,Common,Weapon Part,Magazine,False,,,,{2:16} dad_ps.part_mag_04_cov daedalus pistol magazine 3.5s reload common weapon part magazine
{2:17},DAD_PS.part_mag_05_borg,Daedalus,,,Pistol,nan,Pistol,Magazine,,,2.1s Reload,DAD_PS.part_mag_05_borg,Common,Weapon Part,Magazine,False,,,,{2:17} dad_ps.part_mag_05_borg daedalus pistol magazine 2.1s reload common weapon part magazine
{2:18},DAD_PS.part_mag_torgue_normal,Daedalus,,,Pistol,nan,Pistol,Manufacturer Part,,,Torgue Impact Gyrojets,DAD_PS.part_mag_torgue_normal,Common,Weapon Part,Manufacturer Part,False,,,,{2:18} dad_ps.part_mag_torgue_normal daedalus pistol manufacturer part torgue impact gyrojets common weapon part manufacturer part
{2:19},DAD_PS.part_mag_torgue_sticky,Daedalus,,,Pistol,nan,Pistol,Manufacturer Part,,,Torgue Sticky Gyrojets,DAD_PS.part_mag_torgue_sticky,Common,Weapon Part,Manufacturer Part,False,,,,{2:19} dad_ps.part_mag_torgue_sticky daedalus pistol manufacturer part torgue sticky gyrojets common weapon part manufacturer part
{2:20},DAD_PS.part_mag_ted_thrown_01,Daedalus,,,Pistol,nan,Pistol,Stat Modifier,,,2.0s Reload,DAD_PS.part_mag_ted_thrown_01,Common,Weapon Part,Stat Modifier,False,,,,{2:20} dad_ps.part_mag_ted_thrown_01 daedalus pistol stat modifier 2.0s reload common weapon part stat modifier
{2:21},DAD_PS.part_mag_ted_thrown_02,Daedalus,,,Pistol,nan,Pistol,Stat Modifier,,,2.0s Reload,DAD_PS.part_mag_ted_thrown_02,Common,Weapon Part,Stat Modifier,False,,,,{2:21} dad_ps.part_mag_ted_thrown_02 daedalus pistol stat modifier 2.0s reload common weapon part stat modifier
{2:22},DAD_PS.part_mag_ted_thrown_03_tor,Daedalus,,,Pistol,nan,Pistol,Stat Modifier,,,2.0s Reload,DAD_PS.part_mag_ted_thrown_03_tor,Common,Weapon Part,Stat Modifier,False,,,,{2:22} dad_ps.part_mag_ted_thrown_03_tor daedalus pistol stat modifier 2.0s reload common weapon part stat modifier
{2:23},DAD_PS.part_mag_ted_thrown_04_cov,Daedalus,,,Pistol,nan,Pistol,Stat Modifier,,,3.0s Reload,DAD_PS.part_mag_ted_thrown_04_cov,Common,Weapon Part,Stat Modifier,False,,,,{2:23} dad_ps.part_mag_ted_thrown_04_cov daedalus pistol stat modifier 3.0s reload common weapon part stat modifier
{2:24},DAD_PS.part_mag_ted_thrown_05_bor,Daedalus,,,Pistol,nan,Pistol,Stat Modifier,,,3.0s Reload,DAD_PS.part_mag_ted_thrown_05_bor,Common,Weapon Part,Stat Modifier,False,,,,{2:24} dad_ps.part_mag_ted_thrown_05_bor daedalus pistol stat modifier 3.0s reload common weapon part stat modifier
{2:25},DAD_PS.part_scope_ironsight,Daedalus,,,Pistol,nan,Pistol,Scope,,,ADS,DAD_PS.part_scope_ironsight,Common,Weapon Part,Scope,False,,,,{2:25} dad_ps.part_scope_ironsight daedalus pistol scope ads common weapon part scope
{2:26},DAD_PS.part_scope_01_lens_01,Daedalus,,,Pistol,nan,Pistol,Scope,,,ADS,DAD_PS.part_scope_01_lens_01,Common,Weapon Part,Scope,False,,,,{2:26} dad_ps.part_scope_01_lens_01 daedalus pistol scope ads common weapon part scope
{2:27},DAD_PS.part_scope_01_lens_02,Daedalus,,,Pistol,nan,Pistol,Scope,,,ADS +Zoom,DAD_PS.part_scope_01_lens_02,Common,Weapon Part,Scope,False,,,,{2:27} dad_ps.part_scope_01_lens_02 daedalus pistol scope ads +zoom common weapon part scope
{2:28},DAD_PS.part_scope_02_lens_01,Daedalus,,,Pistol,nan,Pistol,Scope,,,ADS ++Zoom,DAD_PS.part_scope_02_lens_01,Common,Weapon Part,Scope,False,,,,{2:28} dad_ps.part_scope_02_lens_01 daedalus pistol scope ads ++zoom common weapon part scope
{2:29},DAD_PS.part_scope_02_lens_02,Daedalus,,,Pistol,nan,Pistol,Scope,,,ADS ++Zoom,DAD_PS.part_scope_02_lens_02,Common,Weapon Part,Scope,False,,,,{2:29} dad_ps.part_scope_02_lens_02 daedalus pistol scope ads ++zoom common weapon part scope
{2:30},DAD_PS.part_scope_acc_s01_l01_a,Daedalus,,,Pistol,nan,Pistol,Scope Accessory,,,+Damage,DAD_PS.part_scope_acc_s01_l01_a,Common,Weapon Part,Scope Accessory,False,,,,{2:30} dad_ps.part_scope_acc_s01_l01_a daedalus pistol scope accessory +damage common weapon part scope accessory
{2:31},DAD_PS.part_scope_acc_s01_l01_b,Daedalus,,,Pistol,nan,Pistol,Scope Accessory,,,-Reload Speed,DAD_PS.part_scope_acc_s01_l01_b,Common,Weapon Part,Scope Accessory,False,,,,{2:31} dad_ps.part_scope_acc_s01_l01_b daedalus pistol scope accessory -reload speed common weapon part scope accessory
{2:32},DAD_PS.part_scope_acc_s02_l01_a,Daedalus,,,Pistol,nan,Pistol,Scope Accessory,,,No Stat Changes,DAD_PS.part_scope_acc_s02_l01_a,Common,Weapon Part,Scope Accessory,False,,,,{2:32} dad_ps.part_scope_acc_s02_l01_a daedalus pistol scope accessory no stat changes common weapon part scope accessory
