Code,Name,Manufacturer,Item Type,Part Type,Description,Info,Elemental
{1:35},Weapon.part_secondary_elem_fire_corrosive,Element,Element,Fire/Corrosive,Maliwan Licenced Underbarrel,,Fire/Corrosive
{1:36},Weapon.part_secondary_elem_cryo_corrosive,Element,Element,Cryo/Corrosive,Maliwan Licenced Underbarrel,,Cryo/Corrosive
{1:37},Weapon.part_secondary_elem_radiation_cryo,Element,Element,Radiation/Cryo,Maliwan Licenced Underbarrel,,Radiation/Cryo
{1:38},Weapon.part_secondary_elem_shock_cryo,Element,Element,Shock/Cryo,Maliwan Licenced Underbarrel,,Shock/Cryo
{1:39},Weapon.part_secondary_elem_fire_cryo,Element,Element,Fire/Cryo,Maliwan Licenced Underbarrel,,Fire/Cryo
{1:40},Weapon.part_secondary_elem_corrosive_cryo,Element,Element,Corrosive/Cryo,Maliwan Licenced Underbarrel,,Corrosive/Cryo
{1:41},Weapon.part_secondary_elem_radiation_fire,Element,Element,Radiation/Fire,Maliwan Licenced Underbarrel,,Radiation/Fire
{1:42},Weapon.part_secondary_elem_cryo_fire,Element,Element,Cryo/Fire,Maliwan Licenced Underbarrel,,Cryo/Fire
{1:43},Weapon.part_secondary_elem_shock_fire,Element,Element,Shock/Fire,Maliwan Licenced Underbarrel,,Shock/Fire
{1:44},Weapon.part_secondary_elem_corrosive_fire,Element,Element,Corrosive/Fire,Maliwan Licenced Underbarrel,,Corrosive/Fire
{1:45},Weapon.part_secondary_elem_radiation_shock,Element,Element,Radiation/Shock,Maliwan Licenced Underbarrel,,Radiation/Shock
{1:46},Weapon.part_secondary_elem_cryo_shock,Element,Element,Cryo/Shock,Maliwan Licenced Underbarrel,,Cryo/Shock
{1:47},Weapon.part_secondary_elem_corrosive_shock,Element,Element,Corrosive/Shock,Maliwan Licenced Underbarrel,,Corrosive/Shock
{1:48},Weapon.part_secondary_elem_fire_shock,Element,Element,Fire/Shock,Second element on Maliwan weapons,,Fire/Shock
{1:49},Weapon.part_secondary_elem_fire_shock,Element,Element,Fire/Shock,Maliwan Licenced Underbarrel,,Fire/Shock
{1:51},Weapon.part_pearl_damage,Element,Element,Enhancement,pearl_damage,,+damage
{1:52},Weapon.part_pearl_reload,Element,Element,Enhancement,pearl_reload,,+reload
{1:53},Weapon.part_pearl_firerate,Element,Element,Enhancement,pearl_firerate,,+firerate
{1:54},Weapon.part_pearl_handling,Element,Element,Enhancement,pearl_handling,,+handling
{1:55},Weapon.part_override_kinetic,Element,Element,Kinetic Override,Element Override,,Kinetic
{1:56},Weapon.part_override_shock,Element,Element,Shock Override,Element Override,,Shock
{1:57},Weapon.part_override_radiation,Element,Element,Radiation Override,Element Override,,Radiation
{1:58},Weapon.part_override_corrosive,Element,Element,Corrosive Override,Element Override,,Corrosive
{1:59},Weapon.part_override_cryo,Element,Element,Cryo Override,Element Override,,Cryo
{1:60},Weapon.part_override_fire,Element,Element,Incendiary Override,Element Override,,Fire
{2:1},DAD_PS.part_barrel_01_zipgun,Daedalus,Pistol,Barrel,,,Zipper
{2:2},DAD_PS.part_body,Daedalus,Pistol,Body,,,No Stat Changes
{2:3},DAD_PS.part_body_a,Daedalus,Pistol,Body Accessory,,,-Reload Speed
{2:4},DAD_PS.part_body_b,Daedalus,Pistol,Body Accessory,,,-Reload Speed
{2:5},DAD_PS.part_body_c,Daedalus,Pistol,Body Accessory,,,+Accuracy
{2:6},DAD_PS.part_body_d,Daedalus,Pistol,Body Accessory,,,No Stat Changes
{2:7},DAD_PS.part_barrel_01,Daedalus,Pistol,Barrel,,,S23
{2:8},DAD_PS.part_barrel_02,Daedalus,Pistol,Barrel,,,Bonn-91
{2:9},DAD_PS.part_shield_default,Daedalus,Pistol,Manufacturer Part,,,Hyperion Shield
{2:10},DAD_PS.part_shield_ricochet,Daedalus,Pistol,Manufacturer Part,,,Hyperion Ricochet Shield
{2:11},DAD_PS.part_shield_ammo,Daedalus,Pistol,Manufacturer Part,,,Hyperion Absorb Shield
{2:12},DAD_PS.part_shield_amp,Daedalus,Pistol,Manufacturer Part,,,Hyperion Amp Shield
{2:13},DAD_PS.part_mag_01,Daedalus,Pistol,Magazine,,,2.0s Reload
{2:14},DAD_PS.part_mag_02,Daedalus,Pistol,Magazine,,,2.7s Reload
{2:15},DAD_PS.part_mag_03_tor,Daedalus,Pistol,Magazine,,,2.4s Reload
{2:16},DAD_PS.part_mag_04_cov,Daedalus,Pistol,Magazine,,,3.5s Reload
{2:17},DAD_PS.part_mag_05_borg,Daedalus,Pistol,Magazine,,,2.1s Reload
{2:18},DAD_PS.part_mag_torgue_normal,Daedalus,Pistol,Manufacturer Part,,,Torgue Impact Gyrojets
{2:19},DAD_PS.part_mag_torgue_sticky,Daedalus,Pistol,Manufacturer Part,,,Torgue Sticky Gyrojets
{2:20},DAD_PS.part_mag_ted_thrown_01,Daedalus,Pistol,Stat Modifier,,,2.0s Reload
{2:21},DAD_PS.part_mag_ted_thrown_02,Daedalus,Pistol,Stat Modifier,,,2.0s Reload
{2:22},DAD_PS.part_mag_ted_thrown_03_tor,Daedalus,Pistol,Stat Modifier,,,2.0s Reload
{2:23},DAD_PS.part_mag_ted_thrown_04_cov,Daedalus,Pistol,Stat Modifier,,,3.0s Reload
{2:24},DAD_PS.part_mag_ted_thrown_05_bor,Daedalus,Pistol,Stat Modifier,,,3.0s Reload
{2:25},DAD_PS.part_scope_ironsight,Daedalus,Pistol,Scope,,,ADS
{2:26},DAD_PS.part_scope_01_lens_01,Daedalus,Pistol,Scope,,,ADS
{2:27},DAD_PS.part_scope_01_lens_02,Daedalus,Pistol,Scope,,,ADS +Zoom
{2:28},DAD_PS.part_scope_02_lens_01,Daedalus,Pistol,Scope,,,ADS ++Zoom
{2:29},DAD_PS.part_scope_02_lens_02,Daedalus,Pistol,Scope,,,ADS ++Zoom
{2:30},DAD_PS.part_scope_acc_s01_l01_a,Daedalus,Pistol,Scope Accessory,,,+Damage
{2:31},DAD_PS.part_scope_acc_s01_l01_b,Daedalus,Pistol,Scope Accessory,,,-Reload Speed
{2:32},DAD_PS.part_scope_acc_s02_l01_a,Daedalus,Pistol,Scope Accessory,,,No Stat Changes
{2:33},DAD_PS.part_scope_acc_s02_l01_b,Daedalus,Pistol,Scope Accessory,,,+Crit Damage
{2:34},DAD_PS.part_scope_acc_s01_l02_a,Daedalus,Pistol,Scope Accessory,,,+Damage
{2:35},DAD_PS.part_scope_acc_s01_l02_b,Daedalus,Pistol,Scope Accessory,,,-Reload Speed
{2:36},DAD_PS.part_scope_acc_s02_l02_a,Daedalus,Pistol,Scope Accessory,,,No Stat Changes
{2:37},DAD_PS.part_scope_acc_s02_l02_b,Daedalus,Pistol,Scope Accessory,,,+Crit Damage
{2:38},DAD_PS.part_grip_05c_ted_jav,Daedalus,Pistol,Grip,,,Tediore reload modifier: Javelin
{2:39},DAD_PS.part_grip_05a_ted_legs,Daedalus,Pistol,Grip,,,Tediore reload modifier: Legs
{2:40},DAD_PS.part_grip_05b_ted_homing,Daedalus,Pistol,Grip,,,Tediore reload modifier: Homing
{2:41},DAD_PS.part_grip_04_hyp,Daedalus,Pistol,Grip,,,Hyperion Grip
{2:42},DAD_PS.part_grip_01,Daedalus,Pistol,Grip,,,+Damage
{2:43},DAD_PS.part_grip_02,Daedalus,Pistol,Grip,,,+Fire Rate
{2:44},DAD_PS.part_grip_03,Daedalus,Pistol,Grip,,,-Reload Speed
{2:45},DAD_PS.part_underbarrel_06_malswitch,Daedalus,Pistol,Underbarrel,,,Maliwan Element Switch
{2:46},DAD_PS.part_underbarrel_04_atlas_ball,Daedalus,Pistol,Underbarrel,,,Atlas Tracker Grenades
{2:47},DAD_PS.part_underbarrel_02_knifelauncher,Daedalus,Pistol,Underbarrel,,,Alt Fire - Tactical Knife Launcher
{2:48},DAD_PS.part_underbarrel_01_taser,Daedalus,Pistol,Underbarrel,,,Alt Fire - Taser
{2:49},DAD_PS.part_foregrip_02,Daedalus,Pistol,Foregrip,,,+Fire Rate
{2:50},DAD_PS.part_foregrip_03,Daedalus,Pistol,Foregrip,,,+Accuracy
{2:51},DAD_PS.part_body_mag_smg,Daedalus,Pistol,Manufacturer Part,,,Daedalus SMG Ammo
{2:52},DAD_PS.part_body_mag_ar,Daedalus,Pistol,Manufacturer Part,,,Daedalus AR Ammo
{2:53},DAD_PS.part_body_mag_sr,Daedalus,Pistol,Manufacturer Part,,,Daedalus SR Ammo
{2:54},DAD_PS.comp_05_legendary_Zipgun,Daedalus,Pistol,Rarity,Zipper,,Can be used for skin
{2:57},DAD_PS.part_mag_05_borg_barrel_02,Daedalus,Pistol,Stat Modifier,,,1.8s Reload
{2:58},DAD_PS.part_mag_05_borg_barrel_01,Daedalus,Pistol,Stat Modifier,,,1.8s Reload
{2:59},DAD_PS.comp_05_legendary_rangefinder,Daedalus,Pistol,Rarity,Rangefinder,,Can be used for skin
{2:60},DAD_PS.part_barrel_01_a,Daedalus,Pistol,Barrel Accessory,,,+Damage
{2:61},DAD_PS.part_barrel_01_b,Daedalus,Pistol,Barrel Accessory,,,+Accuracy
{2:62},DAD_PS.part_barrel_01_c,Daedalus,Pistol,Barrel Accessory,,,+Fire Rate
{2:63},DAD_PS.part_barrel_01_d,Daedalus,Pistol,Barrel Accessory,,,+Fire Rate
{2:64},DAD_PS.part_barrel_02_a,Daedalus,Pistol,Barrel Accessory,,,+Damage
{2:65},DAD_PS.part_barrel_02_b,Daedalus,Pistol,Barrel Accessory,,,+Crit Damage
{2:66},DAD_PS.part_barrel_02_c,Daedalus,Pistol,Barrel Accessory,,,+Accuracy
{2:67},DAD_PS.part_barrel_02_d,Daedalus,Pistol,Barrel Accessory,,,+Accuracy
{2:68},DAD_PS.part_barrel_licensed_jak,Daedalus,Pistol,Manufacturer Part,,,Jakobs Ricochet
{2:69},DAD_PS.part_barrel_licensed_ted,Daedalus,Pistol,Manufacturer Part,,,Tediore Reload
{2:70},DAD_PS.part_barrel_licensed_ted_shooting,Daedalus,Pistol,Manufacturer Part,,,Tediore Shooting
{2:71},DAD_PS.part_barrel_licensed_ted_mirv,Daedalus,Pistol,Manufacturer Part,,,Tediore MIRV
{2:72},DAD_PS.part_barrel_licensed_ted_combo,Daedalus,Pistol,Manufacturer Part,,,Tediore Combo
{2:73},DAD_PS.part_barrel_licensed_hyp,Daedalus,Pistol,Manufacturer Part,,,Hyperion Shield visual accessory
{2:74},DAD_PS.part_underbarrel_04_atlas,Daedalus,Pistol,Underbarrel,,,Atlas Tracker Darts
{2:75},DAD_PS.part_underbarrel_03_semtex,Daedalus,Pistol,Underbarrel,,,Alt Fire - Demolition Charge
{2:76},DAD_PS.part_foregrip_01,Daedalus,Pistol,Foregrip,,,+Damage
{2:77},DAD_PS.part_body_mag_sg,Daedalus,Pistol,Manufacturer Part,,,Daedalus Shotgun Ammo
{2:78},DAD_PS.part_barrel_02_rangefinder,Daedalus,Pistol,Barrel,,,Rangefinder
{2:95},DAD_PS.comp_01_common,Daedalus,Pistol,Rarity,,,
{2:96},DAD_PS.comp_02_uncommon,Daedalus,Pistol,Rarity,,,
{2:97},DAD_PS.comp_03_rare,Daedalus,Pistol,Rarity,,,
{2:98},DAD_PS.comp_04_epic,Daedalus,Pistol,Rarity,,,
{3:2},JAK_PS.part_body,Jakobs,Pistol,Body,,,No Stat Changes
{3:3},JAK_PS.part_body_a,Jakobs,Pistol,Body Accessory,,,-Reload Speed
{3:4},JAK_PS.part_body_b,Jakobs,Pistol,Body Accessory,,,-Reload Speed
{3:5},JAK_PS.part_body_c,Jakobs,Pistol,Body Accessory,,,+Accuracy
{3:6},JAK_PS.part_body_d,Jakobs,Pistol,Body Accessory,,,+Crit Damage
{3:7},JAK_PS.part_barrel_01,Jakobs,Pistol,Barrel,,,Cuca
{3:8},JAK_PS.part_barrel_02,Jakobs,Pistol,Barrel,,,Muki
{3:9},JAK_PS.part_shield_default,Jakobs,Pistol,Manufacturer Part,,,Hyperion Shield
{3:10},JAK_PS.part_shield_ricochet,Jakobs,Pistol,Manufacturer Part,,,Hyperion Ricochet Shield
{3:11},JAK_PS.part_shield_ammo,Jakobs,Pistol,Manufacturer Part,,,Hyperion Absorb Shield
{3:12},JAK_PS.part_shield_amp,Jakobs,Pistol,Manufacturer Part,,,Hyperion Amp Shield
{3:13},JAK_PS.part_mag_01,Jakobs,Pistol,Magazine,,,2.4s Reload
{3:14},JAK_PS.part_mag_02,Jakobs,Pistol,Magazine,,,2.3s Reload
{3:15},JAK_PS.part_mag_03_tor,Jakobs,Pistol,Magazine,,,2.9s Reload
{3:16},JAK_PS.part_mag_04_cov,Jakobs,Pistol,Magazine,,,3.2s Reload
{3:17},JAK_PS.part_mag_05_borg,Jakobs,Pistol,Magazine,,,2.3s Reload
{3:18},JAK_PS.part_mag_torgue_normal,Jakobs,Pistol,Manufacturer Part,,,Torgue Impact Gyrojets
{3:19},JAK_PS.part_mag_torgue_sticky,Jakobs,Pistol,Manufacturer Part,,,Torgue Sticky Gyrojets
{3:20},JAK_PS.part_mag_ted_thrown_01,Jakobs,Pistol,Stat Modifier,,,2.0s Reload
{3:21},JAK_PS.part_mag_ted_thrown_02,Jakobs,Pistol,Stat Modifier,,,2.0s Reload
{3:22},JAK_PS.part_mag_ted_thrown_03_tor,Jakobs,Pistol,Stat Modifier,,,2.0s Reload
{3:23},JAK_PS.part_mag_ted_thrown_04_cov,Jakobs,Pistol,Stat Modifier,,,3.0s Reload
{3:24},JAK_PS.part_mag_ted_thrown_05_bor,Jakobs,Pistol,Stat Modifier,,,2.0s Reload
{3:25},JAK_PS.part_scope_ironsight,Jakobs,Pistol,Scope,,,ADS
{3:26},JAK_PS.part_scope_01_lens_01,Jakobs,Pistol,Scope,,,ADS +Zoom
{3:27},JAK_PS.part_scope_01_lens_02,Jakobs,Pistol,Scope,,,ADS +Zoom
{3:28},JAK_PS.part_scope_02_lens_01,Jakobs,Pistol,Scope,,,ADS ++Zoom
{3:29},JAK_PS.part_scope_02_lens_02,Jakobs,Pistol,Scope,,,ADS +++Zoom
{3:30},JAK_PS.part_scope_acc_s01_l01_a,Jakobs,Pistol,Scope Accessory,,,+Damage
{3:31},JAK_PS.part_scope_acc_s01_l01_b,Jakobs,Pistol,Scope Accessory,,,-Reload Speed
{3:32},JAK_PS.part_scope_acc_s02_l01_a,Jakobs,Pistol,Scope Accessory,,,No Stat Changes
{3:33},JAK_PS.part_scope_acc_s02_l01_b,Jakobs,Pistol,Scope Accessory,,,+Crit Damage
{3:34},JAK_PS.part_scope_acc_s01_l02_a,Jakobs,Pistol,Scope Accessory,,,+Damage
{3:35},JAK_PS.part_scope_acc_s01_l02_b,Jakobs,Pistol,Scope Accessory,,,-Reload Speed
{3:36},JAK_PS.part_scope_acc_s02_l02_a,Jakobs,Pistol,Scope Accessory,,,No Stat Changes
{3:37},JAK_PS.part_scope_acc_s02_l02_b,Jakobs,Pistol,Scope Accessory,,,+Crit Damage
{3:38},JAK_PS.part_grip_05b_ted_homing,Jakobs,Pistol,Grip,,,Tediore reload modifier: Homing
{3:39},JAK_PS.part_grip_05c_ted_jav,Jakobs,Pistol,Grip,,,Tediore reload modifier: Javelin
{3:40},JAK_PS.part_grip_05a_ted_legs,Jakobs,Pistol,Grip,,,Tediore reload modifier: Legs
{3:41},JAK_PS.part_grip_01,Jakobs,Pistol,Grip,,,+Damage
{3:42},JAK_PS.part_grip_02,Jakobs,Pistol,Grip,,,+Crit Damage
{3:43},JAK_PS.part_grip_03,Jakobs,Pistol,Grip,,,-Reload Speed
{3:44},JAK_PS.part_grip_04_hyp,Jakobs,Pistol,Grip,,,Hyperion Grip
{3:45},JAK_PS.part_underbarrel_02_knifelauncher,Jakobs,Pistol,Underbarrel,,,Alt Fire - Knife Launcher
{3:46},JAK_PS.part_underbarrel_01_microrocket,Jakobs,Pistol,Underbarrel,,,Alt Fire - Zip Rockets
{3:47},JAK_PS.part_underbarrel_05_ammoswitcher,Jakobs,Pistol,Underbarrel,,,Daedalus Ammo Switch
{3:48},JAK_PS.part_underbarrel_04_atlas,Jakobs,Pistol,Underbarrel,,,Atlas Tracker Darts
{3:49},JAK_PS.part_foregrip_02,Jakobs,Pistol,Foregrip,,,+Fire Rate
{3:50},JAK_PS.part_foregrip_03,Jakobs,Pistol,Foregrip,,,+Accuracy
{3:51},JAK_PS.part_barrel_01_a,Jakobs,Pistol,Barrel Accessory,,,+Damage
{3:52},JAK_PS.part_barrel_01_b,Jakobs,Pistol,Barrel Accessory,,,+Crit Damage
{3:53},JAK_PS.part_barrel_01_c,Jakobs,Pistol,Barrel Accessory,,,+Accuracy
{3:54},JAK_PS.part_barrel_01_d,Jakobs,Pistol,Barrel Accessory,,,+Accuracy
{3:55},JAK_PS.part_barrel_02_a,Jakobs,Pistol,Barrel Accessory,,,+Damage
{3:56},JAK_PS.part_barrel_02_b,Jakobs,Pistol,Barrel Accessory,,,+Accuracy
{3:57},JAK_PS.part_barrel_02_c,Jakobs,Pistol,Barrel Accessory,,,+Fire Rate - Perk: Holy Hell
{3:59},JAK_PS.part_barrel_licensed_ted,Jakobs,Pistol,Manufacturer Part,,,Tediore Reload
{3:60},JAK_PS.part_barrel_licensed_ted_shooting,Jakobs,Pistol,Manufacturer Part,,,Tediore Shooting
{3:61},JAK_PS.part_barrel_licensed_ted_mirv,Jakobs,Pistol,Manufacturer Part,,,Tediore MIRV
{3:62},JAK_PS.part_barrel_licensed_ted_combo,Jakobs,Pistol,Manufacturer Part,,,Tediore Combo
{3:63},JAK_PS.part_barrel_licensed_hyp,Jakobs,Pistol,Manufacturer Part,,,Hyperion Shield visual accessory
{3:64},JAK_PS.part_secondary_ammo_smg,Jakobs,Pistol,Manufacturer Part,,,Daedalus SMG Ammo
{3:65},JAK_PS.part_secondary_ammo_sg,Jakobs,Pistol,Manufacturer Part,,,Daedalus Shotgun Ammo
{3:66},JAK_PS.part_secondary_ammo_ar,Jakobs,Pistol,Manufacturer Part,,,Daedalus AR Ammo
{3:67},JAK_PS.part_secondary_ammo_sr,Jakobs,Pistol,Manufacturer Part,,,Daedalus SR Ammo
{3:68},JAK_PS.part_underbarrel_03_vial,Jakobs,Pistol,Underbarrel,,,Alt Fire - Vial Launcher
{3:69},JAK_PS.part_underbarrel_04_atlas_ball,Jakobs,Pistol,Underbarrel,,,Atlas Tracker Grenades
{3:70},JAK_PS.part_foregrip_01,Jakobs,Pistol,Foregrip,,,+Damage
{3:72},JAK_PS.part_barrel_quickdraw,Jakobs,Pistol,Barrel,,,Saba Songbird
{3:75},JAK_PS.part_barrel_02_kingsgambit,Jakobs,Pistol,Barrel,,,King's Gambit
{3:76},JAK_PS.comp_05_legendary_kingsgambit,Jakobs,Pistol,Rarity,King's Gambit,,Can be used for skin
{3:77},JAK_PS.part_barrel_01_phantom_flame,Jakobs,Pistol,Barrel,,,Phantom Flame
{3:78},JAK_PS.comp_05_legendary_phantom_flame,Jakobs,Pistol,Rarity,Phantom Flame,,Can be used for skin
{3:79},JAK_PS.comp_05_legendary_QuickDraw,Jakobs,Pistol,Rarity,San Saba Songbird,,
{3:80},JAK_PS.part_barrel_01_seventh_sense,Jakobs,Pistol,Barrel,,,Seventh Sense
{3:81},JAK_PS.comp_05_legendary_seventh_sense,Jakobs,Pistol,Rarity,Seventh Sense,,Can be used for skin
{3:82},JAK_PS.part_barrel_shalashaska,Jakobs,Pistol,Barrel,,,Shalashaska
{3:83},JAK_PS.comp_05_legendary_Shalashaska,Jakobs,Pistol,Rarity,Shalashaska,,Can be used for skin
{3:95},JAK_PS.comp_01_common,Jakobs,Pistol,Rarity,,,
{3:96},JAK_PS.comp_02_uncommon,Jakobs,Pistol,Rarity,,,
{3:97},JAK_PS.comp_03_rare,Jakobs,Pistol,Rarity,,,
{3:98},JAK_PS.comp_04_epic,Jakobs,Pistol,Rarity,,,
{4:1},ORD_PS.part_mag_03_rocketreload,Order,Pistol,Magazine,,,1.9s Reload
{4:2},ORD_PS.part_body,Order,Pistol,Body,,,No Stat Changes
{4:3},ORD_PS.part_body_a,Order,Pistol,Body Accessory,,,-Reload Speed
{4:4},ORD_PS.part_body_b,Order,Pistol,Body Accessory,,,+Damage
{4:5},ORD_PS.part_body_c,Order,Pistol,Body Accessory,,,+Accuracy
{4:6},ORD_PS.part_body_d,Order,Pistol,Body Accessory,,,+Crit Damage
{4:7},ORD_PS.part_barrel_01,Order,Pistol,Barrel,,,Punct
{4:8},ORD_PS.part_barrel_02,Order,Pistol,Barrel,,,Lemma
{4:9},ORD_PS.part_shield_default,Order,Pistol,Manufacturer Part,,,Hyperion Shield
{4:10},ORD_PS.part_shield_ricochet,Order,Pistol,Manufacturer Part,,,Hyperion Ricochet Shield
{4:11},ORD_PS.part_shield_ammo,Order,Pistol,Manufacturer Part,,,Hyperion Absorb Shield
{4:12},ORD_PS.part_shield_amp,Order,Pistol,Manufacturer Part,,,Hyperion Amp Shield
{4:13},ORD_PS.part_mag_01,Order,Pistol,Magazine,,,1.9s Reload
{4:14},ORD_PS.part_mag_02,Order,Pistol,Magazine,,,2.8s Reload
{4:15},ORD_PS.part_mag_04_cov,Order,Pistol,Magazine,,,2.9s Reload
{4:16},ORD_PS.part_mag_05_borg,Order,Pistol,Magazine,,,2.3s Reload
{4:17},ORD_PS.part_mag_ted_thrown_01,Order,Pistol,Stat Modifier,,,2.0s Reload
{4:18},ORD_PS.part_mag_ted_thrown_02,Order,Pistol,Stat Modifier,,,2.0s Reload
{4:19},ORD_PS.part_mag_ted_thrown_03_tor,Order,Pistol,Stat Modifier,,,2.0s Reload
{4:20},ORD_PS.part_mag_ted_thrown_04_cov,Order,Pistol,Stat Modifier,,,3.0s Reload
{4:21},ORD_PS.part_mag_ted_thrown_05_bor,Order,Pistol,Stat Modifier,,,3.0s Reload
{4:22},ORD_PS.part_scope_ironsight,Order,Pistol,Scope,,,ADS
{4:23},ORD_PS.part_scope_01_lens_01,Order,Pistol,Scope,,,ADS +Zoom
{4:24},ORD_PS.part_scope_01_lens_02,Order,Pistol,Scope,,,ADS ++Zoom
{4:25},ORD_PS.part_scope_02_lens_01,Order,Pistol,Scope,,,ADS ++Zoom
{4:26},ORD_PS.part_scope_02_lens_02,Order,Pistol,Scope,,,ADS +++Zoom
{4:27},ORD_PS.part_scope_acc_s01_l01_a,Order,Pistol,Scope Accessory,,,+Damage
{4:28},ORD_PS.part_scope_acc_s01_l01_b,Order,Pistol,Scope Accessory,,,-Reload Speed
{4:29},ORD_PS.part_scope_acc_s02_l01_a,Order,Pistol,Scope Accessory,,,No Stat Changes
{4:30},ORD_PS.part_scope_acc_s02_l01_b,Order,Pistol,Scope Accessory,,,+Crit Damage
{4:31},ORD_PS.part_scope_acc_s01_l02_a,Order,Pistol,Scope Accessory,,,+Damage
{4:32},ORD_PS.part_scope_acc_s01_l02_b,Order,Pistol,Scope Accessory,,,-Reload Speed
{4:33},ORD_PS.part_scope_acc_s02_l02_a,Order,Pistol,Scope Accessory,,,No Stat Changes
{4:34},ORD_PS.part_scope_acc_s02_l02_b,Order,Pistol,Scope Accessory,,,+Crit Damage
{4:35},ORD_PS.part_grip_05c_ted_jav,Order,Pistol,Grip,,,Tediore reload modifier: Javelin
{4:36},ORD_PS.part_grip_05b_ted_homing,Order,Pistol,Grip,,,Tediore reload modifier: Homing
{4:37},ORD_PS.part_grip_05a_ted_legs,Order,Pistol,Grip,,,Tediore reload modifier: Legs
{4:38},ORD_PS.part_grip_04_hyp,Order,Pistol,Grip,,,Hyperion Grip
{4:39},ORD_PS.part_grip_01,Order,Pistol,Grip,,,+Damage
{4:40},ORD_PS.part_grip_02,Order,Pistol,Grip,,,+Fire Rate
{4:41},ORD_PS.part_grip_03,Order,Pistol,Grip,,,-Reload Speed
{4:42},ORD_PS.part_underbarrel_05_ammoswitcher,Order,Pistol,Underbarrel,,,Daedalus Ammo Switch
