Manufacturer,Name,Part String,Type ID,ID,Stats,Effects,Comments
Armor Shield,Scavenger,Armor_Shield.part_ra_scavenger_secondary,237,31,Refill up to 10% of current Gun's Magazine on Armor Segment filled,,
Firmware,God Killer,Shield.part_firmware_god_killer,246,1,,,
Firmware,Reel Big Fist,Shield.part_firmware_reel_big_fist,246,2,,,
Firmware,Lifeblood,Shield.part_firmware_lifeblood,246,3,,,
Firmware,Airstrike,Shield.part_firmware_airstrike,246,4,,,
Firmware,High Caliber,Shield.part_firmware_high_caliber,246,5,,,
Firmware,Gadget Ahoy,Shield.part_firmware_gadget_ahoy,246,6,,,
Firmware,Baker,Shield.part_firmware_baker,246,7,,,
Firmware,Oscar Mike,Shield.part_firmware_oscar_mike,246,8,,,
Firmware,Rubberband Man,Shield.part_firmware_rubberband_man,246,9,,,
Firmware,Deadeye,Shield.part_firmware_deadeye,246,10,,,
Firmware,Action Fist,Shield.part_firmware_action_fist,246,11,,,
Firmware,GooJFC,Shield.part_firmware_goojfc,246,12,,,
Firmware,Atlas E.X.,Shield.part_firmware_atlas_ex,246,13,,,
Firmware,Atlas Infinum,Shield.part_firmware_atlas_infinum,246,14,,,
Firmware,Trickshot,Shield.part_firmware_trickshot,246,15,,,
Firmware,Jacked,Shield.part_firmware_jacked,246,16,,,
Firmware,Get Throwin',Shield.part_firmware_get_throwin,246,17,,,
Firmware,Heating Up,Shield.part_firmware_heating_up,246,18,,,
Firmware,Bullets to Spare,Shield.part_firmware_bullets_to_spare,246,19,,,
Firmware,Daed-dy O',Shield.part_firmware_daeddy_o,246,20,,,
Resistance,PLACEHOLDER,,246,21,Included when no Elemental Resistance is used,,
Resistance,Corrosive,Shield.part_corrosive,246,22,15% Resist,,
Resistance,Cryo,Shield.part_cryo,246,23,15% Resist,,
Resistance,Fire,Shield.part_fire,246,24,15% Resist,,
Resistance,Radiation,Shield.part_radiation,246,25,15% Resist,,
Resistance,Shock,Shield.part_shock,246,26,15% Resist,,
Perk,Utility,Shield.part_unv_utility_secondary,246,27,"+20% Gun Handling, +10% Movement Speed when shield is empty",,
Perk,Utility,Shield.part_unv_utility_primary,246,28,"+28% Gun Handling, +15% Movement Speed when shield is empty",,
Perk,Turtle,Shield.part_unv_turtle_secondary,246,29,"+40% Shield Capacity, -10% Maximum Health",,
Perk,Turtle,Shield.part_unv_turtle_primary,246,30,"+65% Shield Capacity, -15% Maximum Health",,
Perk,Sturdy,Shield.part_unv_sturdy_secondary,246,31,5% Chance to grant +20% Damage Reduction for 5s when damaging enemies,,
Perk,Sturdy,Shield.part_unv_sturdy_primary,246,32,8% Chance to grant +28% Damage Reduction for 5s when damaging enemies,,
Perk,Spike,Shield.part_unv_spike_secondary,246,33,2974 Damage is reflected back to enemies when receiving Melle Damage and Shield is active,,
Perk,Spike,Shield.part_unv_spike_primary,246,34,4461 Damage is reflected back to enemies when receiving Melle Damage and Shield is active,,
Perk,Resistant,Shield.part_unv_resistant_secondary,246,35,+17% Resistance to Elemental Damage when Shield is active,,
Perk,Resistant,Shield.part_unv_resistant_primary,246,36,+22% Resistance to Elemental Damage when Shield is active,,
Perk,Reflect,Shield.part_unv_reflect_secondary,246,37,15% Chance to reflect Projectiles when Shield is active,,
Perk,Reflect,Shield.part_unv_reflect_primary,246,38,30% Chance to reflect Projectiles when Shield is active,,
Perk,Power Booster,Shield.part_unv_power_booster_secondary,246,39,20% Chance for Power Booster that grants +10% Gun Damage for 5s when damaged,,
Perk,Power Booster,Shield.part_unv_power_booster_primary,246,40,30% Chance for Power Booster that grants +20% Gun Damage for 5s when damaged,,
Perk,Pinpoint,Shield.part_unv_pinpoint_secondary,246,41,"+20% Accuracy, +20% Gun Handling, +25% Projectile Speed when Shield is empty",,
Perk,Pinpoint,Shield.part_unv_pinpoint_primary,246,42,"+28% Accuracy, +28% Gun Handling, +35% Projectile Speed when Shield is empty",,
Perk,Overshield Booster,Shield.part_unv_overshield_booster_secondary,246,43,10% Chance for Overshield Booster that grants 1398 Overshield on kill,,
Perk,Overshield Booster,Shield.part_unv_overshield_booster_primary,246,44,15% Chance for Overshield Booster that grants 2098 Overshield on kill,,
Perk,Magazine Booster,Shield.part_unv_mag_refresh_booster_secondary,246,45,10% Chance for Magazine Booster tha refills your Gun on kill,,
Perk,Magazine Booster,Shield.part_unv_mag_refresh_booster_primary,246,46,15% Chance for Magazine Booster tha refills your Gun on kill,,
Perk,Health Booster,Shield.part_unv_health_booster_secondary,246,47,20% Chance for Health Booster that restores up to 15% Health on kill,,
Perk,Health Booster,Shield.part_unv_health_booster_primary,246,48,30% Chance for Health Booster that restores up to 25% Health on kill,,
Perk,Healthy,Shield.part_unv_healthy_secondary,246,49,+10% Maximum Health,,
Perk,Healthy,Shield.part_unv_healthy_primary,246,50,+25% Maximum Health,,
Perk,Evasive,Shield.part_unv_evasive_secondary,246,51,5% Chance for +10% Movement Speed for 5s when damaging enemies,,
Perk,Evasive,Shield.part_unv_evasive_primary,246,52,8% Chance for +15% Movement Speed for 5s when damaging enemies,,
Perk,Capacity,Shield.part_unv_capacity_secondary,246,53,+25% Shield Capacity,,
Perk,Capacity,Shield.part_unv_capacity_primary,246,54,+50% Shield Capacity,,
Perk,Adaptive,Shield.part_unv_adaptive_secondary,246,55,+8% Maximum Health. +20% Resistance to last damage type received for 3s when shield is active,,
Perk,Adaptive,Shield.part_unv_adaptive_primary,246,56,+16% Maximum Health. +40% Resistance to last damage type received for 4s when shield is active,,
Perk,Absorb,Shield.part_unv_absorb_secondary,246,57,"+15% Chance to absorb bullets, adding the to your Ammo count",,
Perk,Absorb,Shield.part_unv_absorb_primary,246,58,"+30% Chance to absorb bullets, adding the to your Ammo count",,
Firmware,Risky Boots,Shield.part_firmware_risky_boots,246,64,,,
Energy Shield,Vagabond,energy_shield.part_eng_vagabond_primary,248,1,+28% Movement Speed when Energy Shields are full,,
Energy Shield,Shield Booster,energy_shield.part_eng_shield_booster_secondary,248,2,10% Chance for Shield Booster that refills up to 13% of Shield Capacity when damaged,,
Energy Shield,Shield Booster,energy_shield.part_eng_shield_booster_primary,248,3,15% Chance for Shield Booster that refills up to 18% of Shield Capacity when damaged,,
Energy Shield,Berserker,energy_shield.part_eng_berserker_secondary,248,4,+20% Melee Damage when Energy Shields are empty,,
Energy Shield,Berserker,energy_shield.part_eng_berserker_primary,248,5,+30% Melee Damage when Energy Shields are empty,,
Energy Shield,Siphon,energy_shield.part_eng_siphon_secondary,248,6,5% Chance for 716 Overshield when dealing Damage,,
Energy Shield,Siphon,energy_shield.part_eng_siphon_primary,248,7,10% Chance for 1431 Overshield when dealing Damage,,
Energy Shield,Trigger Happy,energy_shield.part_eng_trigger_happy_secondary,248,8,"+20% Fire Rate, +20% Reload Speed when Energy Shields are empty",,
Energy Shield,Trigger Happy,energy_shield.part_eng_trigger_happy_primary,248,9,"+28% Fire Rate, +28% Reload Speed when Energy Shields are empty",,
Energy Shield,Nova,energy_shield.part_eng_nova_secondary,248,10,Triggers a Nova that deals 7436 Damage when Energy Shield breaks,,
Energy Shield,Nova,energy_shield.part_eng_nova_primary,248,11,Triggers a Nova that deals 11154 Damage when Energy Shield breaks,,
Energy Shield,Fleeting,energy_shield.part_eng_fleeting_secondary,248,12,+20% Movement Speed when Energy Shields are empty,,
Energy Shield,Fleeting,energy_shield.part_eng_fleeting_primary,248,13,+28% Movement Speed when Energy Shields are empty,,
Energy Shield,Brimming,energy_shield.part_eng_brimming_secondary,248,14,Regenerates 149 Health/s when Energy Shields are full,,
Energy Shield,Brimming,energy_shield.part_eng_brimming_primary,248,15,Regenerates 260 Health/s when Energy Shields are full,,
Energy Shield,Amp,energy_shield.part_eng_amp_secondary,248,16,Shots drain 20% of Shields for +50% Gun Damage when Energy Shields are full,,
Energy Shield,Amp,energy_shield.part_eng_amp_primary,248,17,Shots drain 28% of Shields for +100% Gun Damage when Energy Shields are full,,
Energy Shield,Recharge Rate,energy_shield.part_eng_recharge_rate_secondary,248,18,+20% Shield Recharge Rate,,
Energy Shield,Recharge Rate,energy_shield.part_eng_recharge_rate_primary,248,19,+30% Shield Recharge Rate,,
Energy Shield,Recharge Delay,energy_shield.part_eng_recharge_delay_secondary,248,20,-10% Shield Recharge Delay,,
Energy Shield,Recharge Delay,energy_shield.part_eng_recharge_delay_primary,248,21,-20% Shield Recharge Delay,,
Energy Shield,Vagabond,energy_shield.part_eng_vagabond_secondary,248,27,+20% Movement Speed when Energy Shields are full,,
Daedalus,Guardian Angel,dad_shield.part_body_angel,312,6,"4040, 3855/s, 0.7",Wings of Grace,
Daedalus,Super Soldier,dad_shield.part_unique_SuperSoldier,312,8,"15007, 2570/s, 2.9",Power Play,
Daedalus,Cover,dad_shield.part_body_energy,312,10,"8551, 2677/s, 4.3",,
Jakobs,Oak-Aged Cask,jak_shield.part_body_barrelAged,306,7,"8783, 1, 24%",Vintage,
Jakobs,Onion,jak_shield.part_body_armor_OnionLayeredGuard,306,8,"8783, 4, 24%",Shallot Shell,
Jakobs,Stein,jak_shield.part_body_armor,306,10,"6506, 3, 21%",,
Maliwan,Extra Medium,mal_shield.part_unique_supernova,279,1,"14054, 2650/s, 4.3",Nucleosynthesis,Requires base shield to be complete
Maliwan,Gate,mal_shield.part_body_energy,279,2,"10410, 2208/s, 5.2",,
Maliwan,Pandoran Memento,mal_shield.part_unique_momento,279,8,"14054, 2650/s, 4.3",Psychosis,Requires base shield to be complete
Order,Cindershelly,ord_shield.part_unique_cindershelly,293,1,"17065, 1606/s, 2.8",Glass,Requires base shield to be complete
Order,Protean Cell,ord_shield.part_body_energy_ProteanCell,293,2,"20478, 964/s, 3.4",Direct Current,
Order,Alembic,ord_shield.part_body_energy,293,4,"12641, 1338/s, 3.4",,
Ripper,Sparky,bor_shield.part_body_energy_lightning,300,6,"10979, 602/s, 0.6",Short Circuit,
Ripper,Watts 4 Dinner,bor_shield.part_body_energy_Watts4Dinner,300,8,"7905, 723/s. 1.5",Overshield Eater,
Ripper,Scab,bor_shield.part_body_energy,300,10,"6506, 669/s, 0.7",,
Ripper,Firebreak,bor_shield.part_body_energy_firewall,300,11,"6588, 803/s, 1.2",Backdoor,
Tediore,Principal,ted_shield.part_body_ShieldBoi,287,6,"12046, 2, 29%",Shield Boi,
Tediore,Timekeeper's New Shield,ted_shield.part_body_timekeeper,287,9,",,",Bininu,
Tediore,Treatment,ted_shield.part_body_armor,287,10,"8923, 2, 25%",,
Torgue,Firewerks,tor_shield.part_unique_firewerks,321,6,"10038, 3, 26%",Bundled,Requires base shield to be complete
Torgue,Compleation,tor_shield.part_body_armor_compleat,321,9,"12548, 5, 26%",Sisyphusian,
Torgue,Protection,tor_shield.part_body_armor,321,10,"7436, 3, 23%",,
Vladof,Hoarder,vla_shield.part_body_armor_Hoarder,283,6,"7529, 4, 22%",Refreshments,
Vladof,Heavyweight,vla_shield.part_body_armor_HeavyWeight,283,8,"7529, 4, 22%",Bareknuckle,
Vladof,Eggiweg,vla_shield.part_body_armor,283,10,"5577, 4, 19%",,
