source,code,Manufacturer,Weapon Type,ID,Part Type,String,Model Name,"Stats (Level 50, Common)",Effects,Requirements,Stats
Item-Editor.html,{255:25},,,25,Legendary Rarity Component,comp_05_legendary_06,Forge Master,Legendary rarity component for Forge Master,Legendary rarity component for Forge Master,,Legendary rarity component for Forge Master
Item-Editor.html,{255:539},,,539,Legendary Rarity Component,comp_05_legendary_raid1,Lamplighter,Legendary rarity component for Lamplighter,Legendary rarity component for Lamplighter,,Legendary rarity component for Lamplighter
Item-Editor.html,{255:256},,,256,,,,,,,
Item-Editor.html,{255:319},,,319,,,,,,,
Item-Editor.html,{255:382},,,382,,,,,,,
Item-Editor.html,{255:445},,,445,,,,,,,
Item-Editor.html,{255:508},,,508,,,,,,,
Item-Editor.html,{255:30},,,30,,,,,,,
Item-Editor.html,{255:99},,,99,,,,,,,
Item-Editor.html,{255:137},,,137,,,,,,,
Item-Editor.html,{255:175},,,175,,,,,,,
Item-Editor.html,{255:213},,,213,,,,,,,
Item-Editor.html,{255:233},,,233,,,,,,,
Item-Editor.html,{255:296},,,296,,,,,,,
Item-Editor.html,{255:359},,,359,,,,,,,
Item-Editor.html,{255:422},,,422,,,,,,,
Item-Editor.html,{255:485},,,485,,,,,,,
Item-Editor.html,{255:247},,,247,,,,,,,
Item-Editor.html,{255:310},,,310,,,,,,,
Item-Editor.html,{255:373},,,373,,,,,,,
Item-Editor.html,{255:436},,,436,,,,,,,
Item-Editor.html,{255:499},,,499,,,,,,,
Item-Editor.html,{255:35},,,35,,,,,,,
Item-Editor.html,{255:105},,,105,,,,,,,
Item-Editor.html,{255:143},,,143,,,,,,,
Item-Editor.html,{255:181},,,181,,,,,,,
Item-Editor.html,{255:52},,,52,,,,,,,
Item-Editor.html,{255:71},,,71,,,,,,,
Item-Editor.html,{255:110},,,110,,,,,,,
Item-Editor.html,{255:148},,,148,,,,,,,
Item-Editor.html,{255:186},,,186,,,,,,,
Item-Editor.html,{255:266},,,266,,,,,,,
Item-Editor.html,{255:329},,,329,,,,,,,
Item-Editor.html,{255:392},,,392,,,,,,,
Item-Editor.html,{255:455},,,455,,,,,,,
Item-Editor.html,{255:518},,,518,,,,,,,
Item-Editor.html,{255:259},,,259,,,,,,,
Item-Editor.html,{255:322},,,322,,,,,,,
Item-Editor.html,{255:385},,,385,,,,,,,
Item-Editor.html,{255:448},,,448,,,,,,,
Item-Editor.html,{255:511},,,511,,,,,,,
Item-Editor.html,{255:231},,,231,,,,,,,
Item-Editor.html,{255:294},,,294,,,,,,,
Item-Editor.html,{255:357},,,357,,,,,,,
Item-Editor.html,{255:420},,,420,,,,,,,
Item-Editor.html,{255:483},,,483,,,,,,,
Item-Editor.html,{255:267},,,267,,,,,,,
Item-Editor.html,{255:330},,,330,,,,,,,
Item-Editor.html,{255:393},,,393,,,,,,,
Item-Editor.html,{255:456},,,456,,,,,,,
Item-Editor.html,{255:519},,,519,,,,,,,
Item-Editor.html,{255:57},,,57,,,,,,,
Item-Editor.html,{255:76},,,76,,,,,,,
Item-Editor.html,{255:115},,,115,,,,,,,
Item-Editor.html,{255:153},,,153,,,,,,,
Item-Editor.html,{255:191},,,191,,,,,,,
Item-Editor.html,{255:270},,,270,,,,,,,
Item-Editor.html,{255:333},,,333,,,,,,,
Item-Editor.html,{255:396},,,396,,,,,,,
Item-Editor.html,{255:459},,,459,,,,,,,
Item-Editor.html,{255:522},,,522,,,,,,,
Item-Editor.html,{255:31},,,31,,,,,,,
Item-Editor.html,{255:101},,,101,,,,,,,
Item-Editor.html,{255:139},,,139,,,,,,,
Item-Editor.html,{255:177},,,177,,,,,,,
Item-Editor.html,{255:215},,,215,,,,,,,
Item-Editor.html,{255:43},,,43,,,,,,,
Item-Editor.html,{255:87},,,87,,,,,,,
Item-Editor.html,{255:126},,,126,,,,,,,
Item-Editor.html,{255:164},,,164,,,,,,,
Item-Editor.html,{255:202},,,202,,,,,,,
Item-Editor.html,{255:246},,,246,,,,,,,
Item-Editor.html,{255:309},,,309,,,,,,,
Item-Editor.html,{255:372},,,372,,,,,,,
Item-Editor.html,{255:435},,,435,,,,,,,
Item-Editor.html,{255:498},,,498,,,,,,,
Item-Editor.html,{255:274},,,274,,,,,,,
Item-Editor.html,{255:337},,,337,,,,,,,
Item-Editor.html,{255:400},,,400,,,,,,,
Item-Editor.html,{255:463},,,463,,,,,,,
Item-Editor.html,{255:526},,,526,,,,,,,
Item-Editor.html,{255:225},,,225,,,,,,,
Item-Editor.html,{255:288},,,288,,,,,,,
Item-Editor.html,{255:351},,,351,,,,,,,
Item-Editor.html,{255:414},,,414,,,,,,,
Item-Editor.html,{255:477},,,477,,,,,,,
Item-Editor.html,{255:257},,,257,,,,,,,
Item-Editor.html,{255:320},,,320,,,,,,,
Item-Editor.html,{255:383},,,383,,,,,,,
Item-Editor.html,{255:446},,,446,,,,,,,
Item-Editor.html,{255:509},,,509,,,,,,,
Item-Editor.html,{255:64},,,64,,,,,,,
Item-Editor.html,{255:83},,,83,,,,,,,
Item-Editor.html,{255:122},,,122,,,,,,,
Item-Editor.html,{255:160},,,160,,,,,,,
Item-Editor.html,{255:198},,,198,,,,,,,
Item-Editor.html,{255:280},,,280,,,,,,,
Item-Editor.html,{255:343},,,343,,,,,,,
Item-Editor.html,{255:406},,,406,,,,,,,
Item-Editor.html,{255:469},,,469,,,,,,,
Item-Editor.html,{255:532},,,532,,,,,,,
Item-Editor.html,{255:251},,,251,,,,,,,
Item-Editor.html,{255:314},,,314,,,,,,,
Item-Editor.html,{255:377},,,377,,,,,,,
Item-Editor.html,{255:440},,,440,,,,,,,
Item-Editor.html,{255:503},,,503,,,,,,,
Item-Editor.html,{255:284},,,284,,,,,,,
Item-Editor.html,{255:347},,,347,,,,,,,
Item-Editor.html,{255:410},,,410,,,,,,,
Item-Editor.html,{255:473},,,473,,,,,,,
Item-Editor.html,{255:536},,,536,,,,,,,
Item-Editor.html,{255:59},,,59,,,,,,,
Item-Editor.html,{255:78},,,78,,,,,,,
Item-Editor.html,{255:117},,,117,,,,,,,
Item-Editor.html,{255:155},,,155,,,,,,,
Item-Editor.html,{255:193},,,193,,,,,,,
Item-Editor.html,{255:248},,,248,,,,,,,
Item-Editor.html,{255:311},,,311,,,,,,,
Item-Editor.html,{255:374},,,374,,,,,,,
Item-Editor.html,{255:437},,,437,,,,,,,
Item-Editor.html,{255:500},,,500,,,,,,,
Item-Editor.html,{255:48},,,48,,,,,,,
Item-Editor.html,{255:93},,,93,,,,,,,
Item-Editor.html,{255:131},,,131,,,,,,,
Item-Editor.html,{255:169},,,169,,,,,,,
Item-Editor.html,{255:207},,,207,,,,,,,
Item-Editor.html,{255:281},,,281,,,,,,,
Item-Editor.html,{255:344},,,344,,,,,,,
Item-Editor.html,{255:407},,,407,,,,,,,
Item-Editor.html,{255:470},,,470,,,,,,,
Item-Editor.html,{255:533},,,533,,,,,,,
Item-Editor.html,{255:285},,,285,,,,,,,
Item-Editor.html,{255:348},,,348,,,,,,,
Item-Editor.html,{255:411},,,411,,,,,,,
Item-Editor.html,{255:474},,,474,,,,,,,
Item-Editor.html,{255:537},,,537,,,,,,,
Item-Editor.html,{255:227},,,227,,,,,,,
Item-Editor.html,{255:290},,,290,,,,,,,
Item-Editor.html,{255:353},,,353,,,,,,,
Item-Editor.html,{255:416},,,416,,,,,,,
Item-Editor.html,{255:479},,,479,,,,,,,
Item-Editor.html,{255:235},,,235,,,,,,,
Item-Editor.html,{255:298},,,298,,,,,,,
Item-Editor.html,{255:361},,,361,,,,,,,
Item-Editor.html,{255:424},,,424,,,,,,,
Item-Editor.html,{255:487},,,487,,,,,,,
Item-Editor.html,{255:34},,,34,,,,,,,
Item-Editor.html,{255:104},,,104,,,,,,,
Item-Editor.html,{255:142},,,142,,,,,,,
Item-Editor.html,{255:180},,,180,,,,,,,
Item-Editor.html,{255:61},,,61,,,,,,,
Item-Editor.html,{255:80},,,80,,,,,,,
Item-Editor.html,{255:119},,,119,,,,,,,
Item-Editor.html,{255:157},,,157,,,,,,,
Item-Editor.html,{255:195},,,195,,,,,,,
Item-Editor.html,{255:283},,,283,,,,,,,
Item-Editor.html,{255:346},,,346,,,,,,,
Item-Editor.html,{255:409},,,409,,,,,,,
Item-Editor.html,{255:472},,,472,,,,,,,
Item-Editor.html,{255:535},,,535,,,,,,,
Item-Editor.html,{255:44},,,44,,,,,,,
Item-Editor.html,{255:88},,,88,,,,,,,
Item-Editor.html,{255:127},,,127,,,,,,,
Item-Editor.html,{255:165},,,165,,,,,,,
Item-Editor.html,{255:203},,,203,,,,,,,
Item-Editor.html,{255:241},,,241,,,,,,,
Item-Editor.html,{255:304},,,304,,,,,,,
Item-Editor.html,{255:367},,,367,,,,,,,
Item-Editor.html,{255:430},,,430,,,,,,,
Item-Editor.html,{255:493},,,493,,,,,,,
Item-Editor.html,{255:63},,,63,,,,,,,
Item-Editor.html,{255:82},,,82,,,,,,,
Item-Editor.html,{255:121},,,121,,,,,,,
Item-Editor.html,{255:159},,,159,,,,,,,
Item-Editor.html,{255:197},,,197,,,,,,,
Item-Editor.html,{255:60},,,60,,,,,,,
Item-Editor.html,{255:79},,,79,,,,,,,
Item-Editor.html,{255:118},,,118,,,,,,,
Item-Editor.html,{255:156},,,156,,,,,,,
Item-Editor.html,{255:194},,,194,,,,,,,
Item-Editor.html,{255:16},,,16,,,,,,,
Item-Editor.html,{255:17},,,17,,,,,,,
Item-Editor.html,{255:18},,,18,,,,,,,
Item-Editor.html,{255:19},,,19,,,,,,,
Item-Editor.html,{255:28},,,28,,,,,,,
Item-Editor.html,{255:275},,,275,,,,,,,
Item-Editor.html,{255:338},,,338,,,,,,,
Item-Editor.html,{255:401},,,401,,,,,,,
Item-Editor.html,{255:464},,,464,,,,,,,
Item-Editor.html,{255:527},,,527,,,,,,,
Item-Editor.html,{255:47},,,47,,,,,,,
Item-Editor.html,{255:92},,,92,,,,,,,
Item-Editor.html,{255:130},,,130,,,,,,,
Item-Editor.html,{255:168},,,168,,,,,,,
Item-Editor.html,{255:206},,,206,,,,,,,
Item-Editor.html,{255:56},,,56,,,,,,,
Item-Editor.html,{255:75},,,75,,,,,,,
Item-Editor.html,{255:114},,,114,,,,,,,
Item-Editor.html,{255:152},,,152,,,,,,,
Item-Editor.html,{255:190},,,190,,,,,,,
Item-Editor.html,{255:265},,,265,,,,,,,
Item-Editor.html,{255:328},,,328,,,,,,,
Item-Editor.html,{255:391},,,391,,,,,,,
Item-Editor.html,{255:454},,,454,,,,,,,
Item-Editor.html,{255:517},,,517,,,,,,,
Item-Editor.html,{255:237},,,237,,,,,,,
Item-Editor.html,{255:300},,,300,,,,,,,
Item-Editor.html,{255:363},,,363,,,,,,,
Item-Editor.html,{255:426},,,426,,,,,,,
Item-Editor.html,{255:489},,,489,,,,,,,
Item-Editor.html,{255:252},,,252,,,,,,,
Item-Editor.html,{255:315},,,315,,,,,,,
Item-Editor.html,{255:378},,,378,,,,,,,
Item-Editor.html,{255:441},,,441,,,,,,,
Item-Editor.html,{255:504},,,504,,,,,,,
Item-Editor.html,{255:51},,,51,,,,,,,
Item-Editor.html,{255:96},,,96,,,,,,,
Item-Editor.html,{255:134},,,134,,,,,,,
Item-Editor.html,{255:172},,,172,,,,,,,
Item-Editor.html,{255:210},,,210,,,,,,,
Item-Editor.html,{255:273},,,273,,,,,,,
Item-Editor.html,{255:336},,,336,,,,,,,
Item-Editor.html,{255:399},,,399,,,,,,,
Item-Editor.html,{255:462},,,462,,,,,,,
Item-Editor.html,{255:525},,,525,,,,,,,
Item-Editor.html,{255:282},,,282,,,,,,,
Item-Editor.html,{255:345},,,345,,,,,,,
Item-Editor.html,{255:408},,,408,,,,,,,
Item-Editor.html,{255:471},,,471,,,,,,,
Item-Editor.html,{255:534},,,534,,,,,,,
Item-Editor.html,{255:234},,,234,,,,,,,
Item-Editor.html,{255:297},,,297,,,,,,,
Item-Editor.html,{255:360},,,360,,,,,,,
Item-Editor.html,{255:423},,,423,,,,,,,
Item-Editor.html,{255:486},,,486,,,,,,,
Item-Editor.html,{255:27},,,27,,,,,,,
Item-Editor.html,{255:100},,,100,,,,,,,
Item-Editor.html,{255:138},,,138,,,,,,,
Item-Editor.html,{255:176},,,176,,,,,,,
Item-Editor.html,{255:214},,,214,,,,,,,
Item-Editor.html,{255:277},,,277,,,,,,,
Item-Editor.html,{255:340},,,340,,,,,,,
Item-Editor.html,{255:403},,,403,,,,,,,
Item-Editor.html,{255:466},,,466,,,,,,,
Item-Editor.html,{255:529},,,529,,,,,,,
Item-Editor.html,{255:226},,,226,,,,,,,
Item-Editor.html,{255:289},,,289,,,,,,,
Item-Editor.html,{255:352},,,352,,,,,,,
Item-Editor.html,{255:415},,,415,,,,,,,
Item-Editor.html,{255:478},,,478,,,,,,,
Item-Editor.html,{255:41},,,41,,,,,,,
Item-Editor.html,{255:85},,,85,,,,,,,
Item-Editor.html,{255:124},,,124,,,,,,,
Item-Editor.html,{255:162},,,162,,,,,,,
Item-Editor.html,{255:200},,,200,,,,,,,
Item-Editor.html,{255:279},,,279,,,,,,,
Item-Editor.html,{255:342},,,342,,,,,,,
Item-Editor.html,{255:405},,,405,,,,,,,
Item-Editor.html,{255:468},,,468,,,,,,,
Item-Editor.html,{255:531},,,531,,,,,,,
Item-Editor.html,{255:271},,,271,,,,,,,
Item-Editor.html,{255:334},,,334,,,,,,,
Item-Editor.html,{255:397},,,397,,,,,,,
Item-Editor.html,{255:460},,,460,,,,,,,
Item-Editor.html,{255:523},,,523,,,,,,,
Item-Editor.html,{255:253},,,253,,,,,,,
Item-Editor.html,{255:316},,,316,,,,,,,
Item-Editor.html,{255:379},,,379,,,,,,,
Item-Editor.html,{255:442},,,442,,,,,,,
Item-Editor.html,{255:505},,,505,,,,,,,
Item-Editor.html,{255:229},,,229,,,,,,,
Item-Editor.html,{255:292},,,292,,,,,,,
Item-Editor.html,{255:355},,,355,,,,,,,
Item-Editor.html,{255:418},,,418,,,,,,,
Item-Editor.html,{255:481},,,481,,,,,,,
Item-Editor.html,{255:238},,,238,,,,,,,
Item-Editor.html,{255:301},,,301,,,,,,,
Item-Editor.html,{255:364},,,364,,,,,,,
Item-Editor.html,{255:427},,,427,,,,,,,
Item-Editor.html,{255:490},,,490,,,,,,,
Item-Editor.html,{255:255},,,255,,,,,,,
Item-Editor.html,{255:318},,,318,,,,,,,
Item-Editor.html,{255:381},,,381,,,,,,,
Item-Editor.html,{255:444},,,444,,,,,,,
Item-Editor.html,{255:507},,,507,,,,,,,
Item-Editor.html,{255:239},,,239,,,,,,,
Item-Editor.html,{255:302},,,302,,,,,,,
Item-Editor.html,{255:365},,,365,,,,,,,
Item-Editor.html,{255:428},,,428,,,,,,,
Item-Editor.html,{255:491},,,491,,,,,,,
Item-Editor.html,{255:242},,,242,,,,,,,
Item-Editor.html,{255:305},,,305,,,,,,,
Item-Editor.html,{255:368},,,368,,,,,,,
Item-Editor.html,{255:431},,,431,,,,,,,
Item-Editor.html,{255:494},,,494,,,,,,,
Item-Editor.html,{255:276},,,276,,,,,,,
Item-Editor.html,{255:339},,,339,,,,,,,
Item-Editor.html,{255:402},,,402,,,,,,,
Item-Editor.html,{255:465},,,465,,,,,,,
Item-Editor.html,{255:528},,,528,,,,,,,
Item-Editor.html,{255:243},,,243,,,,,,,
Item-Editor.html,{255:306},,,306,,,,,,,
Item-Editor.html,{255:369},,,369,,,,,,,
Item-Editor.html,{255:432},,,432,,,,,,,
Item-Editor.html,{255:495},,,495,,,,,,,
Item-Editor.html,{255:269},,,269,,,,,,,
Item-Editor.html,{255:332},,,332,,,,,,,
Item-Editor.html,{255:395},,,395,,,,,,,
Item-Editor.html,{255:458},,,458,,,,,,,
Item-Editor.html,{255:521},,,521,,,,,,,
Item-Editor.html,{255:32},,,32,,,,,,,
Item-Editor.html,{255:102},,,102,,,,,,,
Item-Editor.html,{255:140},,,140,,,,,,,
Item-Editor.html,{255:178},,,178,,,,,,,
Item-Editor.html,{255:216},,,216,,,,,,,
Item-Editor.html,{255:37},,,37,,,,,,,
Item-Editor.html,{255:107},,,107,,,,,,,
Item-Editor.html,{255:145},,,145,,,,,,,
Item-Editor.html,{255:183},,,183,,,,,,,
Item-Editor.html,{255:221},,,221,,,,,,,
Item-Editor.html,{255:262},,,262,,,,,,,
Item-Editor.html,{255:325},,,325,,,,,,,
Item-Editor.html,{255:388},,,388,,,,,,,
Item-Editor.html,{255:451},,,451,,,,,,,
Item-Editor.html,{255:514},,,514,,,,,,,
Item-Editor.html,{255:228},,,228,,,,,,,
Item-Editor.html,{255:291},,,291,,,,,,,
Item-Editor.html,{255:354},,,354,,,,,,,
Item-Editor.html,{255:417},,,417,,,,,,,
Item-Editor.html,{255:480},,,480,,,,,,,
Item-Editor.html,{255:263},,,263,,,,,,,
Item-Editor.html,{255:326},,,326,,,,,,,
Item-Editor.html,{255:389},,,389,,,,,,,
Item-Editor.html,{255:452},,,452,,,,,,,
Item-Editor.html,{255:515},,,515,,,,,,,
Item-Editor.html,{255:261},,,261,,,,,,,
Item-Editor.html,{255:324},,,324,,,,,,,
Item-Editor.html,{255:387},,,387,,,,,,,
Item-Editor.html,{255:450},,,450,,,,,,,
Item-Editor.html,{255:513},,,513,,,,,,,
Item-Editor.html,{255:33},,,33,,,,,,,
Item-Editor.html,{255:103},,,103,,,,,,,
Item-Editor.html,{255:141},,,141,,,,,,,
Item-Editor.html,{255:179},,,179,,,,,,,
Item-Editor.html,{255:224},,,224,,,,,,,
Item-Editor.html,{255:287},,,287,,,,,,,
Item-Editor.html,{255:350},,,350,,,,,,,
Item-Editor.html,{255:413},,,413,,,,,,,
Item-Editor.html,{255:476},,,476,,,,,,,
Item-Editor.html,{255:232},,,232,,,,,,,
Item-Editor.html,{255:295},,,295,,,,,,,
Item-Editor.html,{255:358},,,358,,,,,,,
Item-Editor.html,{255:421},,,421,,,,,,,
Item-Editor.html,{255:484},,,484,,,,,,,
Item-Editor.html,{255:58},,,58,,,,,,,
Item-Editor.html,{255:77},,,77,,,,,,,
Item-Editor.html,{255:116},,,116,,,,,,,
Item-Editor.html,{255:154},,,154,,,,,,,
Item-Editor.html,{255:192},,,192,,,,,,,
Item-Editor.html,{255:40},,,40,,,,,,,
Item-Editor.html,{255:84},,,84,,,,,,,
Item-Editor.html,{255:123},,,123,,,,,,,
Item-Editor.html,{255:161},,,161,,,,,,,
Item-Editor.html,{255:199},,,199,,,,,,,
Item-Editor.html,{255:36},,,36,,,,,,,
Item-Editor.html,{255:106},,,106,,,,,,,
Item-Editor.html,{255:144},,,144,,,,,,,
Item-Editor.html,{255:182},,,182,,,,,,,
Item-Editor.html,{255:268},,,268,,,,,,,
Item-Editor.html,{255:331},,,331,,,,,,,
Item-Editor.html,{255:394},,,394,,,,,,,
Item-Editor.html,{255:457},,,457,,,,,,,
Item-Editor.html,{255:520},,,520,,,,,,,
Item-Editor.html,{255:260},,,260,,,,,,,
Item-Editor.html,{255:323},,,323,,,,,,,
Item-Editor.html,{255:386},,,386,,,,,,,
Item-Editor.html,{255:449},,,449,,,,,,,
Item-Editor.html,{255:512},,,512,,,,,,,
Item-Editor.html,{255:45},,,45,,,,,,,
Item-Editor.html,{255:89},,,89,,,,,,,
Item-Editor.html,{255:128},,,128,,,,,,,
Item-Editor.html,{255:166},,,166,,,,,,,
Item-Editor.html,{255:204},,,204,,,,,,,
Item-Editor.html,{255:54},,,54,,,,,,,
Item-Editor.html,{255:73},,,73,,,,,,,
Item-Editor.html,{255:112},,,112,,,,,,,
Item-Editor.html,{255:150},,,150,,,,,,,
Item-Editor.html,{255:188},,,188,,,,,,,
Item-Editor.html,{255:55},,,55,,,,,,,
Item-Editor.html,{255:74},,,74,,,,,,,
Item-Editor.html,{255:113},,,113,,,,,,,
Item-Editor.html,{255:151},,,151,,,,,,,
Item-Editor.html,{255:189},,,189,,,,,,,
Item-Editor.html,{255:29},,,29,,,,,,,
Item-Editor.html,{255:97},,,97,,,,,,,
Item-Editor.html,{255:135},,,135,,,,,,,
Item-Editor.html,{255:173},,,173,,,,,,,
Item-Editor.html,{255:211},,,211,,,,,,,
Item-Editor.html,{255:49},,,49,,,,,,,
Item-Editor.html,{255:94},,,94,,,,,,,
Item-Editor.html,{255:132},,,132,,,,,,,
Item-Editor.html,{255:170},,,170,,,,,,,
Item-Editor.html,{255:208},,,208,,,,,,,
Item-Editor.html,{255:46},,,46,,,,,,,
Item-Editor.html,{255:91},,,91,,,,,,,
Item-Editor.html,{255:129},,,129,,,,,,,
Item-Editor.html,{255:167},,,167,,,,,,,
Item-Editor.html,{255:205},,,205,,,,,,,
Item-Editor.html,{255:245},,,245,,,,,,,
Item-Editor.html,{255:308},,,308,,,,,,,
Item-Editor.html,{255:371},,,371,,,,,,,
Item-Editor.html,{255:434},,,434,,,,,,,
Item-Editor.html,{255:497},,,497,,,,,,,
Item-Editor.html,{255:240},,,240,,,,,,,
Item-Editor.html,{255:303},,,303,,,,,,,
Item-Editor.html,{255:366},,,366,,,,,,,
Item-Editor.html,{255:429},,,429,,,,,,,
Item-Editor.html,{255:492},,,492,,,,,,,
Item-Editor.html,{255:254},,,254,,,,,,,
Item-Editor.html,{255:317},,,317,,,,,,,
Item-Editor.html,{255:380},,,380,,,,,,,
Item-Editor.html,{255:443},,,443,,,,,,,
Item-Editor.html,{255:506},,,506,,,,,,,
Item-Editor.html,{255:249},,,249,,,,,,,
Item-Editor.html,{255:312},,,312,,,,,,,
Item-Editor.html,{255:375},,,375,,,,,,,
Item-Editor.html,{255:438},,,438,,,,,,,
Item-Editor.html,{255:501},,,501,,,,,,,
Item-Editor.html,{255:39},,,39,,,,,,,
Item-Editor.html,{255:109},,,109,,,,,,,
Item-Editor.html,{255:147},,,147,,,,,,,
Item-Editor.html,{255:185},,,185,,,,,,,
Item-Editor.html,{255:223},,,223,,,,,,,
Item-Editor.html,{259:1},,,1,Regular Body,body_01,Chemist,,,,
Item-Editor.html,{259:2},,,2,Regular Body,body_02,Assistant,,,,
Item-Editor.html,{259:3},,,3,Regular Body,body_03,Physicist,,,,
Item-Editor.html,{259:4},,,4,Regular Body,body_04,Controller,,,,
Item-Editor.html,{259:5},,,5,Regular Body,body_05,Compiler,,,,
Item-Editor.html,{259:6},,,6,Regular Body,body_06,Specialist,,,,
Item-Editor.html,{259:7},,,7,Regular Body,body_07,Bookworm,,,,
Item-Editor.html,{259:8},,,8,Regular Body,body_08,Radiologist,,,,
Item-Editor.html,{259:9},,,9,Regular Body,body_09,Savant,,,,
Item-Editor.html,{259:10},,,10,Legendary Body,leg_body_01,Bio Robot,,,,
Item-Editor.html,{259:11},,,11,Legendary Body,leg_body_02,Reactor,,,,
Item-Editor.html,{259:12},,,12,Legendary Body,leg_body_03,Generator,,,,
Item-Editor.html,{259:13},,,13,Legendary Body,leg_body_04,Driver,,,,
Item-Editor.html,{259:14},,,14,Legendary Body,leg_body_05,Skeptic,,,,
Item-Editor.html,{259:15},,,15,Legendary Body,leg_body_06,Scientist,,,,
Item-Editor.html,{259:540},,,540,Legendary Body,leg_body_raid1,Trooper,,,,
Item-Editor.html,{259:220},,,220,Special Body,body_10,Breaker,,,,
Item-Editor.html,{259:217},,,217,Rarity Level,comp_01_common,Common (White),,,,
Item-Editor.html,{259:218},,,218,Rarity Level,comp_02_uncommon,Uncommon (Green),,,,
Item-Editor.html,{259:219},,,219,Rarity Level,comp_03_rare,Rare (Blue),,,,
Item-Editor.html,{259:224},,,224,,comp_01_common,,,,,
Item-Editor.html,{259:223},,,223,,comp_02_uncommon,,,,,
Item-Editor.html,{259:222},,,222,,comp_03_rare,,,,,
Item-Editor.html,{259:221},,,221,,comp_04_epic,,,,,
Item-Editor.html,{259:21},,,21,Legendary Rarity Component,comp_05_legendary_01,Bio Robot,Legendary rarity component for Bio Robot,Legendary rarity component for Bio Robot,,Legendary rarity component for Bio Robot
Item-Editor.html,{259:22},,,22,Legendary Rarity Component,comp_05_legendary_02,Reactor,Legendary rarity component for Reactor,Legendary rarity component for Reactor,,Legendary rarity component for Reactor
Item-Editor.html,{259:23},,,23,Legendary Rarity Component,comp_05_legendary_03,Generator,Legendary rarity component for Generator,Legendary rarity component for Generator,,Legendary rarity component for Generator
Item-Editor.html,{259:24},,,24,Legendary Rarity Component,comp_05_legendary_04,Driver,Legendary rarity component for Driver,Legendary rarity component for Driver,,Legendary rarity component for Driver
Item-Editor.html,{259:25},,,25,Legendary Rarity Component,comp_05_legendary_05,Skeptic,Legendary rarity component for Skeptic,Legendary rarity component for Skeptic,,Legendary rarity component for Skeptic
Item-Editor.html,{259:26},,,26,Legendary Rarity Component,comp_05_legendary_06,Scientist,Legendary rarity component for Scientist,Legendary rarity component for Scientist,,Legendary rarity component for Scientist
